guid,German,German Definition,German Example,English,English Example,tags
*orKRi@[8),risikofreudig,,,"riskseeking, prepared to take risks",,Lektion_1 Sprechen_2
%8pl8h*7E!,rücksichtslos/-voll,,,in-/considerate,,Lektion_1 Sprechen_2
")&dW,hImlo",übersichtlich,,,clear,,Lektion_1 Sprechen_2
5<#UmuxlR5,"die Auswertung, -en",,,"evaluation, analysis",,Lektion_1 Schreiben
TDz@%k/?{s,"die Rückseite, -n",,,back side,,Lektion_1 Schreiben
W}UU8.jpIh,"die Vorderseite, -n",,,front side,,Lektion_1 Schreiben
/$^G&Kp[8h,bewerten,,,"to assess, to rate",,Lektion_1 Schreiben
NQVW/U>}R3,Kontakte pflegen,,,"to socialize, foster relationships",,Lektion_1 Schreiben
.-)7Wv{(-h,"der Besen, -",,,broom,,Lektion_1 Sehen_und_Hören
4e_j(*/:VY,sorgen für,,,to care for,,Lektion_1 Sehen_und_Hören
NDaqQPPf>2,(sich) vertraut machen mit,,,"to familiarise oneself with, to get to know",,Lektion_1 Sehen_und_Hören
:`yEc7(_bV,mental,,,mental,,Lektion_1 Sehen_und_Hören
$5FWkr|4Xx,"der Arbeitstag, -e",,,work day,,Lektion_2 Einstieg
"2%,i$]/9l}","die Reparatur, -en",,,repair,,Lektion_2 Einstieg
.%K:NWFfZI,"die Anforderung, -en",,,"requirement, demand",,Lektion_2 Sprechen_1
9y3$f}rHF=,"der Bereich, -e",,,"department, area",,Lektion_2 Sprechen_1
OuO#(;dRm?,"das Bundesgebiet, -e",,,federal territory,,Lektion_2 Sprechen_1
4:lrh<kShk,"die Klinik, -en",,,clinic,,Lektion_2 Sprechen_1
(Io?[=_OE+,"das Konzept, -e",,,concept,,Lektion_2 Sprechen_1
70R0:ae^an,"die Messe, -n",,,"trade fair, exhibition",,Lektion_2 Sprechen_1
OO[Nw8s5Jn,"die Schicht, -en",,,shift,,Lektion_2 Sprechen_1
X=2&npBFtn,"der Schichtdienst, -e",,,"shift duty, to work in shifts",,Lektion_2 Sprechen_1
6m6Uwi;(Wi,"die Spontaneität, -en",,,spontaneity,,Lektion_2 Sprechen_1
VA!Eucq`;4,"das Unternehmen, -",,,"company, business",,Lektion_2 Sprechen_1
<?z~+|#t?P,"die Visitenkarte, -n",,,business card,,Lektion_2 Sprechen_1
!//#T<Hr$3,"die Vorlesung, -en",,,lecture,,Lektion_2 Sprechen_1
L1d-@JgAE:,erläutern,,,to explain,,Lektion_2 Sprechen_1
RTcg;nMXju,forschen,,,"to research, to carry out research",,Lektion_2 Sprechen_1
Va8rc`ubtc,knüpfen,,,"to tie, to knot",,Lektion_2 Sprechen_1
$#mmw:gt76,Kontakte knüpfen,,,"to socialize, make new contacts",,Lektion_2 Sprechen_1
2_|:gek`;h,mobil sein,,,to be mobile,,Lektion_2 Sprechen_1
*dN%AaTm0r,"ins Stocken geraten, geriet, ist geraten",,,to come to a halt,,Lektion_2 Sprechen_1
#5SUx7Txem,zur Verfügung haben,,,to have available,,Lektion_2 Sprechen_1
8KBjw2ZiKh,"die Ablage, -en",,,"files, storage",,Lektion_2 Wortschatz
$maDUvOE5/,"der Assistant, -en",,,assistant,,Lektion_2 Wortschatz
"$)|AD,D)TH","der Bereichsleiter, -",,,head of [a] division,,Lektion_2 Wortschatz
ZLU8Uamp7<,"die Konferenz, -en",,,conference,,Lektion_2 Wortschatz
YlHSGdHxEq,"die Position, -en",,,"position, job",,Lektion_2 Wortschatz
&b8RLshuY[,"der Projektleiter, -",,,"project manager, project supervisor",,Lektion_2 Wortschatz
QB>/QL1<2M,"die Unterlage, -n",,,document,,Lektion_2 Wortschatz
2%<l)Rq`Bz,(sich) durchsetzen,,,"to assert oneself, to get one's (own) way",,Lektion_2 Wortschatz
VXw;:vaOj%,dominant,,,dominant,,Lektion_2 Wortschatz
:FM{<v*8NP,durchsetzungsstark,,,assertive,,Lektion_2 Wortschatz
+hb>27{>?[,ehrgeizig,,,"eager, ambitious",,Lektion_2 Wortschatz
<!vCKJn{3w,strukturiert,,,structured,,Lektion_2 Wortschatz
+[n^U**?F@,teamfähig,,,"able to work in a team, team player, team-minded",,Lektion_2 Wortschatz
(lFJ5oAhc(,unabhängig,,,independent,,Lektion_2 Wortschatz
#!&q.MVT}V,"die Arbeitskraft, -¨e",,,"worker, employee",,Lektion_2 Hören
Su*jX90bhq,"der Effekt, -e",,,effect (1),,Lektion_2 Hören
8nqsPc+9kg,"die Motivation, -en",,,motivation,,Lektion_2 Hören
U*.R=nq|cv,"die Reportage, -n",,,"report, coverage",,Lektion_2 Hören
Y6;LaI-uQt,"der Therapeut, -en",,,therapist,,Lektion_2 Hören
&X?;-W4tt&,"der Zusammenbruch, -¨e",,,"breakdown, collapse",,Lektion_2 Hören
"<gG]3Bym,",spüren,,,to feel,,Lektion_2 Hören
"*^j?;DTcy,",erfahren sein (in) (+Dat.),,,to be experienced [in],,Lektion_2 Hören
"6^xEeE/y,J",begeistert,,,"impressed, overjoyed",,Lektion_2 Hören
Wkhw3Ikrw6,"die Persönlichkeit, -en",,,personality,,Lektion_2 Lesen_1
Mg].ep4AFH,"die Steigerung, -en",,,"increase, growth",,Lektion_2 Lesen_1
!LvkGlm~wH,"der Umsatz, -¨e",,,revenue,,Lektion_2 Lesen_1
--HHEq8S].,"die Werbeaktion, -en",,,advertising campaign,,Lektion_2 Lesen_1
gm3+}Q}!qt,erfüllen,,,"to fulfill, to satisfy",,Lektion_2 Lesen_1
7v?]QrZ5uj,"hinterlassen, hinterließ, hat hinterlassen",,,to leave behind,,Lektion_2 Lesen_1
7V3/-Rr@lt,sich spezialisieren auf (+Akk.),,,to specialize [in],,Lektion_2 Lesen_1
/^X!0__`%K,verdreifachen,,,to triple,,Lektion_2 Lesen_1
ZTALng?PEF,"am Laufen halten, hielt, hat gehalten/",,,to keep [sth.] going/running,,Lektion_2 Lesen_1
9Ezwq}aj5e,kreativ,,,creative,,Lektion_2 Lesen_1
"7@qE,Ea+~[",ungezwungen,,,"informal, casual",,Lektion_2 Lesen_1
7F)]j4xZod,unkonventionell,,,unconventional,,Lektion_2 Lesen_1
X0N}[}@9C0,"das Gewissen, -",,,conscience,,Lektion_2 Schreiben
",QJ/gKyon4",die Offenheit (Sg.),,,openness,,Lektion_2 Schreiben
/vGnSXt%!A,"das Stichwort, -e",,,keyword,,Lektion_2 Schreiben
1nB{wUNpb5,"der Zulieferer, -",,,"supplier, subcontractor",,Lektion_2 Schreiben
*1IRol!26^,beschweren,,,to complain,,Lektion_2 Schreiben
",?@d]<Jeqv",nummerieren,,,to number,,Lektion_2 Schreiben
!XhRpa1:wS,"vergessen, vergaß, hat vergessen",,,to forget,,Lektion_2 Schreiben
%/]>*(inDW,zusammenarbeiten,,,to work together,,Lektion_2 Schreiben
K-wu)c/?Ac,ein Gespräch führen,,,"to make conversation, to have a talk [with sb.]",,Lektion_2 Schreiben
79o`%td@e?,"sich die Zeit vertreiben, vertieb, hat vertrieben",,,to pass one's time,,Lektion_2 Schreiben
:z;mi4#`oK,aufgrund,,,"because of, due to, based on",,Lektion_2 Schreiben
&W0o0dd3T0,ausführlich,,,"extensive, detailed",,Lektion_2 Schreiben
1O.&Fb>PFt,dank,,,"thanks to, owing to, due to",,Lektion_2 Schreiben
:^v+u*y)Td,zumindest,,,at least,,Lektion_2 Schreiben
TryQgK[(k6,"das Arbeitsgericht, -e","Gericht, das für arbeitsrechtliche Streitigkeiten zuständig ist","Fünf Kollegen der Werkzeuginstandhaltung von Daimler Untertürheim klagten erfolgreich vor dem Arbeitsgericht Stuttgart gegen Abmahnungen und Lohnabzüge, die sie erhielten",labor court,,Lektion_2 Lesen_2
LV!Z2O=fWE,"der Arbeitsrechtler, -","Jurist auf dem Gebiet des Arbeitsrechts, Anwälte und Arbeitsrechtler aus Unternehmen, Verbänden und Gewerkschaften",Der erfahrene Arbeitsrechtler ist seit 1991 als Anwalt tätig,employment laywer,,Lektion_2 Lesen_2
&VP1_vzq+;,die Aufregung (Sg.),"heftige Gefühlsbewegung, Erregung",In der Aufregung (weil ich so aufgeregt war) hatte ich alles vergessen,excitement,,Lektion_2 Lesen_2
Km@eD(~p<u,das Aufsehen,"durch etwas Außer- oder Ungewöhnliches ausgelöste allgemeine starke Beachtung, Aufregung, Verwunderung, Überraschung",Das Buch verursachte großes Aufsehen,sensation,,Lektion_2 Lesen_2
S`:FnKXrf>,Aufsehen erregen,starke Beachtung finden,Auf keinen Fall wollen wir Aufsehen erregen,to cause a sensation,,Lektion_2 Lesen_2
NUup&wi(P0,"die Besprechung, -en","ausführliches Gespräch über eine bestimmte Sache, Angelegenheit",Sie ist in einer wichtigen Besprechung,"meeting, conference",,Lektion_2 Lesen_2
(%)ntI)pf%,"das Einverständnis, -se","Billigung, Zustimmung","Sein Einverständnis zu etwas geben, erklären",consent,,Lektion_2 Lesen_2
/u)w=d2E4[,"der Fachanwalt, -¨e","Rechtsanwalt, der auf ein bestimmtes Fachgebiet spezialisiert ist",Der Fachanwalt für Bank- und Kapitalmarktrecht berät und vertritt öffentliche und private Banken,specialized lawyer,,Lektion_2 Lesen_2
0MZSPg>8v*,"die Genehmigung, -en","(besonders amtlich, offiziell) die Ausführung, Verwirklichung einer Absicht, die jemand als Antrag, Gesuch o. Ä. vorgebracht hat, gestatten",Die Baubehörde hat den Anbau genehmigt,"approval, permit",,Lektion_2 Lesen_2
Gc$)F7_93,"der Keks, -e","trockenes, haltbares Kleingebäck
",Kekse backen,cookie,,Lektion_2 Lesen_2
WO-D|{SHM%,"die Sitte, n","für bestimmte Lebensbereiche einer Gemeinschaft geltende, dort übliche, als verbindlich betrachtete Gewohnheit, Gepflogenheit, die im Laufe der Zeit entwickelt, überliefert wurde",Das ist dort [so] Sitte (ist dort üblich),"custom, tradition",,Lektion_2 Lesen_2
XR[daJ*{nS,"aufladen, lud auf, hat aufgeladen",elektrisch laden,Eine Batterie aufladen,"to charge, to recharge",,Lektion_2 Lesen_2
5}Bw9k/Ca/,sich befassen mit,"sich [eingehend] beschäftigen, auseinandersetzen",Die Eltern befassen sich viel mit ihren Kindern,to deal with [sth.],,Lektion_2 Lesen_2
:/C5E6=Z(a,naschen,[heimlich] kleine Mengen von etwas [wegnehmen und] essen,Das Kind wurde beim Naschen erwischt,to snack,,Lektion_2 Lesen_2
<QTZ?*4%*Z,Bedenken äußern,,Der Chef hat seine Bedenken geäußert,to voice concerns,,Lektion_2 Lesen_2
5;>~W*V^DU,den Job kosten,,"Dass er immer zu spät kam, kostete ihn nach einiger Zeit seinen Job.",to cost/lose [sb.] their job,,Lektion_2 Lesen_2
;qCDjA|sJ*,ausdrücklich,"mit Nachdruck, unmissverständlich [vorgebracht]; explizit","etwas ausdrücklich (extra, besonders) betonen","explicitly, expressly",,Lektion_2 Lesen_2
/]0@e6zsg),bedenklich,"nicht einwandfrei; zweifelhaft, fragwürdig","Es ist bedenklich, dass die spanische Präsidentschaft, die sich leider noch nicht ...",questionable,,Lektion_2 Lesen_2
8#u$gcPXpu,fristlos,"sofortig; ohne Aufschub [geschehend, erfolgend]

",eine fristlose Kündigung,without notice,,Lektion_2 Lesen_2
.GVJZpH2s9,(un)üblich,(nicht) üblich,ein unübliches Vorgehen,"(un)usual, (un)common",,Lektion_2 Lesen_2
8/sD;-B{ON,eine Reihe von,,Dafür kann eine Reihe von Gründen verantwortlich gemacht werden,"a number of, a series of",,Lektion_2 Lesen_2
%<D[B}ecvY,"das Amt, die Ämter","offizielle Stellung (in Staat, Gemeinde, Kirche u. Ä.), die mit bestimmten Pflichten verbunden ist; Posten",das höchste Amt im Staat,"office, department, bureau",,Lektion_2 Sehen_und_Hören
K}>4i5h!-;,"der Geschäftspartner, -","jemand, der an einem Geschäft beteiligt ist",jemanden als Geschäftspartner gewinnen,"business partner, business associate",,Lektion_2 Sehen_und_Hören
5CQ?Zh`>H/,"der Kunde, -n","jemand, der [regelmäßig] eine Ware kauft oder eine Dienstleistung in Anspruch nimmt [und daher in dem Geschäft, in der Firma bekannt ist]",er zählt zu unseren besten Kunden,customer,,Lektion_2 Sehen_und_Hören
1GIFm8jJ1&,"der Lieferant, -en","männliche Person, die an jemanden eine Ware liefert",diese Firma ist der Lieferant für Ersatzteile,"supplier, deliverer",,Lektion_2 Sehen_und_Hören
!r&)uW|ab4,"der Vorgesetzte, -n","männliche Person, die (in einem Betrieb o. Ä.) anderen übergeordnet und berechtigt ist, Anweisungen zu geben",Vorgesetzte müssen die Reisekostenabrechnung autorisieren,"superior, boss",,Lektion_2 Sehen_und_Hören
%j;Ia}j{y;,"die Arbeitswelt, -en","Lebensbereich, Welt der Arbeit",die industrielle Arbeitswelt,"working world, work environment",,Lektion_2 Sprechen_2
$4u)pDlIl<,"die Landschaft, -en","hinsichtlich des äußeren Erscheinungsbildes (der Gestalt des Bodens, des Bewuchses, der Bebauung, Besiedelung o. Ä.) in bestimmter Weise geprägter Teil, Bereich der Erdoberfläche; Gebiet der Erde, das sich durch charakteristische äußere Merkmale von anderen Gegenden unterscheidet",der moderne Bau passt gut in diese Landschaft,landscape,,Lektion_2 Sprechen_2
1;~<:E2N5G,der Wandel (Sg.),"das Sichwandeln; Wandlung (sich [grundlegend] verändern; eine andere Form, Gestalt o. Ä. bekommen; in seinem Wesen, Verhalten o. Ä. anders werden)","politischer, sozialer, technologischer Wandel","transition, change, policy shift",,Lektion_2 Sprechen_2
)&xn$^Mv5],"einfallen, fiel ein, ist eingefallen","jemandem als Einfall, als Idee [plötzlich] in den Sinn kommen","ihr fiel nichts Besseres, nichts Passendes ein",to come to mind,,Lektion_2 Sprechen_2
Kd{}V]{6DK,vorbereiten,"auf etwas einstellen, für etwas leistungsfähig, geeignet machen",der Saal wird für ein Fest vorbereitet,to prepare,,Lektion_2 Sprechen_2
LK13}XYKm_,heutzutage,"in der gegenwärtigen Zeit, wie sie dem Zeitgenossen [gegenüber einer früheren] erscheint",so etwas ist heutzutage kein Problem mehr,"nowadays, these days",,Lektion_2 Sprechen_2
